weight_alpha,mean_triple_welfare,se_triple_welfare,n_runs
0.3,1.9633,2.6082,12
0.5,1.2622,1.9143,12
1.0,-1.1165,2.0802,12
2.0,-1.5559,1.663,12
3.0,-1.7787,1.7499,12
