term,coef,se(cluster),t,p(normal)
intercept,0.3261,0.6204,0.526,0.5992
ai,0.5546,0.8761,0.633,0.5267
central,1.7689,0.9072,1.95,0.0512
ai_x_central,-0.6372,1.3052,-0.488,0.6254
hard,13.4302,1.4765,9.096,0.0
ai_x_hard,0.3369,2.1631,0.156,0.8762
central_x_hard,1.9655,2.0633,0.953,0.3408
ai_x_central_x_hard,0.7958,3.0288,0.263,0.7927
n_obs / n_clusters,28800 / 480,,,
