term,coef,se(cluster),t,p(normal)
intercept,0.0189,0.0024,7.846,0.0
ai,0.0,0.0034,0.0,1.0
central,-0.0042,0.0031,-1.339,0.1804
ai_x_central,0.0017,0.0046,0.363,0.7168
hard,-0.0083,0.0032,-2.619,0.0088
ai_x_hard,0.0014,0.0043,0.32,0.7492
central_x_hard,0.0111,0.0044,2.548,0.0108
ai_x_central_x_hard,-0.0072,0.0062,-1.167,0.2434
n_obs / n_clusters,28800 / 480,,,
