term,coef,se(cluster),t,p(normal)
intercept,-7.9467,0.7434,-10.69,0.0
ai,0.5274,0.9865,0.535,0.593
central,3.2969,1.0304,3.2,0.0014
ai_x_central,-5.6802,1.4459,-3.929,0.0001
hard,10.6017,1.4962,7.086,0.0
ai_x_hard,0.9414,2.0934,0.45,0.6529
central_x_hard,-1.7046,2.0121,-0.847,0.3969
ai_x_central_x_hard,1.1695,2.9723,0.393,0.694
n_obs / n_clusters,28800 / 480,,,
