n_jobs_per_cell,n_providers_city,category,match_rate,messages_per_job,provider_inbox_per_day,net_welfare
20,20,easy,0.218,10.84,1.745,-3.76
20,20,hard,0.098,1.374,1.745,7.24
40,40,easy,0.275,9.646,1.669,-2.05
40,40,hard,0.178,2.036,1.669,12.01
80,80,easy,0.31,9.432,1.491,3.5
80,80,hard,0.204,1.007,1.491,19.79
160,160,easy,0.336,10.328,1.833,3.74
160,160,hard,0.234,2.503,1.833,26.85
