term,coef,se(cluster),t,p(normal)
intercept,0.3161,0.0082,38.583,0.0
ai,-0.0011,0.012,-0.093,0.9263
central,-0.0181,0.011,-1.647,0.0996
ai_x_central,0.035,0.0168,2.087,0.0369
hard,-0.1294,0.0104,-12.433,0.0
ai_x_hard,-0.0006,0.0158,-0.035,0.9719
central_x_hard,0.0444,0.0152,2.919,0.0035
ai_x_central_x_hard,-0.0411,0.0228,-1.807,0.0708
n_obs / n_clusters,28800 / 480,,,
