category,arm,match_rate,match_rate_se,cancel_rate,pref_density_i,pref_density_j,pref_density_both,messages_per_job,provider_inbox_per_day,avg_price,consumer_surplus,provider_profit,net_welfare,reciprocity,herfindahl
easy,standard_search,0.293,0.009,0.064,0.772,0.767,0.591,9.892,2.071,203.51,-7.37,12.1,-0.25,0.085,0.064
easy,standard_central,0.289,0.008,0.06,0.772,0.764,0.59,1.368,0.958,194.11,-4.33,7.88,2.2,0.088,0.062
easy,ai_search,0.313,0.009,0.064,0.804,0.808,0.649,10.254,2.049,202.35,-7.11,13.18,0.9,0.105,0.061
easy,ai_central,0.326,0.008,0.057,0.805,0.809,0.651,0.979,0.821,205.51,-9.06,12.87,2.53,0.099,0.061
hard,standard_search,0.197,0.006,0.062,0.706,0.771,0.544,11.323,1.993,379.51,2.1,17.68,14.13,0.064,0.063
hard,standard_central,0.209,0.008,0.097,0.704,0.762,0.537,1.848,0.931,374.16,1.17,14.7,14.48,0.063,0.06
hard,ai_search,0.184,0.008,0.046,0.793,0.808,0.64,11.214,2.168,368.64,3.42,16.45,14.27,0.058,0.062
hard,ai_central,0.201,0.008,0.066,0.793,0.81,0.642,1.287,0.806,370.85,2.49,17.22,18.58,0.06,0.063
