term,coef,se(cluster),t,p(normal)
intercept,-7.3652,0.7433,-9.909,0.0
ai,0.2576,0.95,0.271,0.7863
central,3.0332,1.034,2.933,0.0034
ai_x_central,-4.9842,1.4137,-3.526,0.0004
hard,9.4643,1.4306,6.615,0.0
ai_x_hard,1.0618,1.9394,0.547,0.584
central_x_hard,-3.9576,2.0069,-1.972,0.0486
ai_x_central_x_hard,4.9778,2.8,1.778,0.0754
n_obs / n_clusters,28800 / 480,,,
