n_jobs_per_cell,n_providers_city,category,match_rate,messages_per_job,provider_inbox_per_day,net_welfare
20,20,easy,0.22,10.198,1.657,-5.57
20,20,hard,0.104,1.402,1.657,7.47
40,40,easy,0.25,11.782,1.683,-3.33
40,40,hard,0.184,0.0,1.683,14.13
80,80,easy,0.308,10.383,1.56,2.39
80,80,hard,0.193,0.539,1.56,18.67
160,160,easy,0.331,11.312,1.905,5.09
160,160,hard,0.242,2.021,1.905,25.95
