provider_id,city_id,week,cost_base,licensed,insured,schedule_slots_n,matches,revenue,profit,inbox,responded
city001_p024,city001,0,245.34,0,1,13,2,1002.51,152.806,0,0
city001_p025,city001,0,207.99,1,1,13,0,0.0,0.0,0,0
city001_p026,city001,0,278.48,1,1,13,1,269.433,12.925,0,0
city001_p027,city001,0,203.09,1,1,13,0,0.0,0.0,0,0
city001_p028,city001,0,255.93,1,1,13,0,0.0,0.0,0,0
city001_p029,city001,0,245.56,1,0,13,0,0.0,0.0,0,0
city001_p030,city001,0,137.66,1,1,13,0,0.0,0.0,0,0
city001_p031,city001,0,175.91,1,1,13,0,0.0,0.0,0,0
city001_p032,city001,0,231.16,0,0,13,0,0.0,0.0,0,0
city001_p033,city001,0,136.33,1,1,13,1,124.802,6.091,0,0
city001_p034,city001,0,192.93,0,1,13,0,0.0,0.0,0,0
city001_p035,city001,0,235.44,0,1,13,0,0.0,0.0,0,0
city001_p036,city001,0,176.44,0,1,13,0,0.0,0.0,0,0
city001_p037,city001,0,136.23,1,1,13,4,639.09,122.538,0,0
city001_p038,city001,0,201.8,0,1,13,0,0.0,0.0,0,0
city001_p039,city001,0,121.61,1,1,13,0,0.0,0.0,0,0
city001_p040,city001,0,297.08,1,1,13,1,687.623,191.113,0,0
city001_p041,city001,0,165.44,1,1,13,1,272.528,27.51,0,0
city001_p042,city001,0,154.44,1,1,13,0,0.0,0.0,0,0
city001_p043,city001,0,282.71,1,1,13,0,0.0,0.0,0,0
city001_p044,city001,0,205.49,1,1,13,0,0.0,0.0,0,0
city001_p045,city001,0,161.02,1,0,13,1,197.255,55.555,0,0
city001_p046,city001,0,182.13,1,1,13,1,441.94,98.768,0,0
city001_p047,city001,0,185.56,1,1,13,1,440.901,124.625,0,0
city001_p048,city001,0,239.13,1,0,13,0,0.0,0.0,0,0
city001_p049,city001,0,151.45,1,0,13,1,176.429,46.193,0,0
city001_p050,city001,0,219.19,0,0,13,0,0.0,0.0,0,0
city001_p051,city001,0,149.44,1,0,13,0,0.0,0.0,0,0
city001_p052,city001,0,211.77,1,1,13,1,285.29,52.059,0,0
city001_p053,city001,0,200.12,0,1,13,0,0.0,0.0,0,0
city001_p054,city001,0,214.36,1,0,13,0,0.0,0.0,0,0
city001_p055,city001,0,147.61,1,1,13,1,200.688,36.45,0,0
city001_p056,city001,0,190.59,1,0,13,1,186.793,40.537,0,0
city001_p057,city001,0,135.8,1,1,13,2,489.421,118.857,0,0
city001_p058,city001,0,238.57,0,0,13,0,0.0,0.0,0,0
city001_p059,city001,0,130.89,1,1,13,3,634.313,149.681,0,0
city001_p060,city001,0,145.31,1,1,13,2,495.972,96.383,0,0
city001_p061,city001,0,196.7,1,1,13,2,463.331,51.062,0,0
city001_p062,city001,0,169.65,1,1,13,0,0.0,0.0,0,0
