term,coef,se(cluster),t,p(normal)
intercept,12.104,0.4865,24.882,0.0
ai,1.0726,0.5941,1.805,0.071
central,-4.2218,0.5936,-7.112,0.0
ai_x_central,3.9117,0.7702,5.079,0.0
hard,5.5712,0.7446,7.483,0.0
ai_x_hard,-2.2966,1.1144,-2.061,0.0393
central_x_hard,1.2487,1.0617,1.176,0.2396
ai_x_central_x_hard,-0.1692,1.5791,-0.107,0.9147
n_obs / n_clusters,28800 / 480,,,
