term,coef,se(cluster),t,p(normal)
intercept,-0.2457,0.6365,-0.386,0.6995
ai,1.1456,0.8658,1.323,0.1858
central,2.4486,0.9308,2.631,0.0085
ai_x_central,-0.8184,1.3211,-0.619,0.5356
hard,14.3787,1.4313,10.046,0.0
ai_x_hard,-1.0135,2.0706,-0.489,0.6245
central_x_hard,-2.104,1.9776,-1.064,0.2874
ai_x_central_x_hard,4.7934,2.8775,1.666,0.0957
n_obs / n_clusters,28800 / 480,,,
