n_jobs_per_cell,n_providers_city,category,match_rate,messages_per_job,provider_inbox_per_day,net_welfare
20,20,easy,0.32,9.48,1.549,8.03
20,20,hard,0.17,1.36,1.549,25.14
40,40,easy,0.355,10.84,1.549,16.08
40,40,hard,0.229,0.0,1.549,39.69
80,80,easy,0.419,9.623,1.447,30.2
80,80,hard,0.26,0.508,1.447,45.87
160,160,easy,0.421,10.495,1.774,33.91
160,160,hard,0.304,1.924,1.774,60.49
