category,arm,match_rate,match_rate_se,cancel_rate,pref_density_i,pref_density_j,pref_density_both,messages_per_job,provider_inbox_per_day,avg_price,consumer_surplus,provider_profit,net_welfare,reciprocity,herfindahl
easy,standard_search,0.398,0.01,0.07,0.82,0.816,0.669,9.087,1.93,205.47,12.23,17.35,24.89,0.139,0.055
easy,standard_central,0.386,0.009,0.077,0.821,0.812,0.667,1.264,0.907,194.83,14.31,11.36,24.12,0.14,0.053
easy,ai_search,0.417,0.009,0.07,0.858,0.862,0.74,9.47,1.909,204.59,11.03,18.67,24.82,0.151,0.054
easy,ai_central,0.416,0.009,0.068,0.859,0.864,0.742,0.918,0.785,206.15,8.44,17.3,24.27,0.15,0.057
hard,standard_search,0.266,0.007,0.079,0.746,0.821,0.612,10.824,1.876,385.7,25.04,26.39,45.96,0.1,0.056
hard,standard_central,0.295,0.008,0.082,0.744,0.81,0.603,1.764,0.869,382.66,22.67,23.31,44.41,0.102,0.052
hard,ai_search,0.266,0.008,0.063,0.845,0.864,0.73,10.632,2.033,384.55,24.04,26.87,45.53,0.092,0.055
hard,ai_central,0.271,0.008,0.077,0.847,0.864,0.731,1.213,0.753,382.34,24.36,25.91,49.01,0.093,0.056
