term,coef,se(cluster),t,p(normal)
intercept,0.3978,0.0095,41.764,0.0
ai,0.0189,0.0129,1.46,0.1444
central,-0.0119,0.013,-0.921,0.3568
ai_x_central,0.0108,0.0182,0.596,0.5515
hard,-0.1314,0.0119,-11.032,0.0
ai_x_hard,-0.0189,0.0169,-1.12,0.2629
central_x_hard,0.0403,0.0168,2.394,0.0166
ai_x_central_x_hard,-0.0342,0.0241,-1.415,0.157
n_obs / n_clusters,28800 / 480,,,
