term,coef,se(cluster),t,p(normal)
intercept,12.2282,1.0538,11.604,0.0
ai,-1.1941,1.4443,-0.827,0.4084
central,2.0786,1.4861,1.399,0.1619
ai_x_central,-4.6713,2.1781,-2.145,0.032
hard,12.8128,2.0524,6.243,0.0
ai_x_hard,0.1913,2.9825,0.064,0.9489
central_x_hard,-4.4489,2.9244,-1.521,0.1282
ai_x_central_x_hard,7.3678,4.3243,1.704,0.0884
n_obs / n_clusters,28800 / 480,,,
